mode,batch_size,tokens_per_step,avg_new_tokens,avg_latency_sec,tokens_per_sec
TP,1,1,1024,33.58881735801697,30.486336838995374
TP,2,2,2048,43.05939809481303,47.56220687271297
TP,4,4,4096,43.433785597483315,94.3044669870391
TP,8,8,8192,43.88148442904154,186.6846599787857
TP,16,16,16384,44.337905168533325,369.5258027577665
TP,32,32,32768,45.07467238108317,726.9714513499603
TP,64,64,65536,48.50545263290405,1351.1058333170392
TP,128,128,130709,52.62902053197225,2483.5917271269373
TP,256,256,261655.33333333334,59.552879889806114,4393.663813026142
EP,1,1,1024,34.75204618771871,29.465890856288027
EP,2,2,2048,40.291767597198486,50.82924185590703
EP,4,4,4096,40.94588224093119,100.03447906919122
EP,8,8,8192,41.76691476504008,196.1361054816743
EP,16,16,16030,42.48652450243632,377.2961000629926
EP,32,32,32768,43.858497301737465,747.1300207702712
EP,64,64,65002,46.552865743637085,1396.3050171381676
EP,128,128,131072,46.98080555597941,2789.905333654246
EP,256,256,261990.66666666666,53.433714389801025,4903.09666207059
